nama,longitude,latitude,hasil
mayjen_4,112.7166427387202,-7.442810581034832,jalan_tidak_rusak
mayjen_5,112.71575709601612,-7.442557333982763,jalan_tidak_rusak
mayjen_3,112.71752169015305,-7.443029345930899,jalan_lubang
monginsid_10,112.72478181803469,-7.446231459145608,jalan_tidak_rusak
monginsid_2,112.72218255305215,-7.452999073938603,jalan_retak
monginsid_3,112.72256368653204,-7.4521723547579795,jalan_tidak_rusak
monginsid_4,112.72292391571777,-7.451343481038637,jalan_tidak_rusak
monginsid_8,112.724283593988,-7.447970825107658,jalan_retak
monginsid_9,112.72452842776087,-7.447095854306341,jalan_tidak_rusak
monginsid_10,112.72478181803469,-7.446231459145608,jalan_lubang
patah_3,112.72277369658022,-7.45729925198545,jalan_tidak_rusak
patah_4,112.72187418886834,-7.457191311929115,jalan_tidak_rusak
patah_5,112.72097790029856,-7.457066835639604,jalan_tidak_rusak
patah_6,112.72007504854021,-7.456975446430477,jalan_lubang
patah_8,112.71827644295152,-7.456756304681922,jalan_lubang
patah_7,112.71917497322998,-7.456873653753385,jalan_lubang
raden_w_1,112.71954619190096,-7.4482257703536785,jalan_lubang
raden_w_2,112.71985061434435,-7.4473741452805315,jalan_retak
sisingamangraja_1,112.71470804683851,-7.454068630314649,jalan_tidak_rusak
sisingamangraja_3,112.71650507891835,-7.45430009683598,jalan_tidak_rusak
sisingamangraja_2,112.71560874428654,-7.454165368075688,jalan_lubang
sultan_a_1,112.71752288374458,-7.4432678551089895,jalan_tidak_rusak
sultan_a_2,112.71731839368636,-7.444149124298901,jalan_tidak_rusak
sultan_a_3,112.71714259903506,-7.445036560897267,jalan_tidak_rusak
sultan_a_4,112.71693502503396,-7.445916738417201,jalan_tidak_rusak
sultan_a_5,112.71675500539854,-7.446805801121396,jalan_tidak_rusak
sultan_a_6,112.71654649419125,-7.447683034902419,jalan_tidak_rusak
sultan_a_7,112.71636540482302,-7.448568190542782,jalan_tidak_rusak
sutomo_1,112.71713689558138,-7.444933033058614,jalan_retak
sutomo_2,112.71626299084245,-7.4446933181186665,jalan_retak
sutomo_3,112.71569326157487,-7.44499882753105,jalan_retak
sutomo_4,112.71553372990253,-7.445888879012822,jalan_retak
sutomo_6,112.71640366040987,-7.446957515323416,jalan_lubang
trunojoyo_3,112.72386241131274,-7.448221603199561,jalan_tidak_rusak
trunojoyo_2,112.72297608862426,-7.448028744753963,jalan_lubang
untung_s_1,112.71881644477763,-7.447039327548293,jalan_tidak_rusak
untung_s_2,112.71970226535225,-7.447227910123635,jalan_tidak_rusak
untung_s_3,112.7205865755492,-7.447429144565894,jalan_lubang
untung_s_4,112.7214643604605,-7.447653298587483,jalan_tidak_rusak
wahidin_1,112.72235135844852,-7.463813851673626,jalan_tidak_rusak
wahidin_2,112.72252135279822,-7.46292561968124,jalan_tidak_rusak
wahidin_4,112.7229175654748,-7.4610959865679165,jalan_tidak_rusak
wahidin_5,112.72299911633979,-7.460247062656473,jalan_lubang
wahidin_3,112.72271121928156,-7.462066470224342,jalan_lubang
yos_s_1,112.71944980954922,-7.444147667907089,jalan_tidak_rusak
yos_s_2,112.7203168599127,-7.444412964891066,jalan_retak
yos_s_3,112.72118971225713,-7.444652368425603,jalan_tidak_rusak
yos_s_4,112.72205920227435,-7.444901096581424,jalan_tidak_rusak
yos_s_5,112.7229269317871,-7.445167135770339,jalan_tidak_rusak
yos_s_6,112.72378495196827,-7.4454689029282415,jalan_tidak_rusak
yos_s_7,112.72464143202531,-7.445754566931208,jalan_tidak_rusak
